id,runtime_seconds,mse_raw,psnr_raw,ssim_raw,ncc_raw,mse_aligned,psnr_aligned,ssim_aligned,ncc_aligned,align_shift_y,align_shift_x,centroid_error,source_size_error,axis_ratio_error,orientation_error,flux_error_fraction,concentration_error,asymmetry_error,forward_mse,forward_psnr,forward_ssim,forward_ncc,forward_residual_mean,forward_residual_std,direct_supported_fraction,interpolated_fraction,empty_fraction,extrapolated_fraction,nearest_distance_pixels_p95,magnification_proxy_median,source_caustic_distance_proxy_median,theta_E,source_R_sersic,source_n_sersic
lens_00622,0.40571970003657043,0.001206200708163437,29.185804208896204,0.7416884319251944,0.7816853641136221,0.001206200708163437,29.185804208896204,0.7416884319251944,0.7816853641136221,0.0,0.0,0.9573676677469839,7.966804661143153,0.08198234734368803,2.255943414029389,0.36838984621626814,0.05038728797686365,0.17643210470460557,0.00631876209825,21.993679955399884,0.34232797024146283,0.6990801003231111,0.039016081880393634,0.06925682242893055,0.603515625,0.27099609375,0.06884765625,0.0771484375,4.11233856161843,5.78371423963447,0.16283584938414525,1.0118899302437288,0.05099875355565491,1.4732860226484603
lens_00623,0.38789810007438064,0.0006611243185187274,31.797168676397526,0.8841212791385147,0.9015837012638362,0.0006611243185187274,31.797168676397526,0.8841212791385148,0.9015837012638361,0.0,0.0,0.6096267925230126,2.367902796383751,0.004202251203553997,1.3170759479329064,0.09724763120458928,0.0336284143578387,0.09782915782319057,0.0005248626053710381,32.799543680958884,0.8849178027637473,0.9715249133124164,0.01107653425261158,0.020054251278014853,0.52978515625,0.152099609375,0.2392578125,0.1005859375,9.36687228027419,4.736063638177521,0.15808635122767276,1.1630133905258924,0.12525578729852044,2.115355955426089
lens_00624,0.40550890006124973,0.0005787134830311809,32.37536399202328,0.8299259013216177,0.8372154305565181,0.000578713483031181,32.37536399202328,0.8299259013216176,0.837215430556518,0.0,0.0,0.39042275964850054,6.62538157370958,0.023503399366660682,4.567116481797996,0.24015337567999775,0.011038137389540847,0.09118496334100312,0.0020969641326888363,26.784089978172197,0.5864675119215506,0.8681222064081499,0.023201719804246457,0.0394796698417562,0.608642578125,0.24609375,0.082275390625,0.087646484375,5.134625453452969,4.8461352113486145,0.16303372878203692,1.2347880112152032,0.06368682295268702,1.6291033469468883
lens_00625,0.368202600046061,0.0014697684347688275,28.327510839076048,0.7654716060467074,0.80578288349306,0.0014697684347688273,28.327510839076048,0.7654716060467072,0.8057828834930602,0.0,0.0,1.1889536651824038,5.111499983018591,0.10081287316261389,2.7753447122809973,0.23753758706526099,0.08124604369551092,0.25731412738761084,0.00663874896711115,21.779137531424485,0.3671978003145305,0.6886611087888346,0.03746580371886438,0.07235373189276885,0.533203125,0.144775390625,0.245849609375,0.09521484375,9.381057001628559,4.839435172845208,0.21740933839061832,1.1493455541719135,0.09654538293312159,1.5885499974260786
lens_00626,0.40008229995146394,0.0016875712642008618,27.727378783513387,0.6463710715242869,0.7009408117386494,0.0016875712642008623,27.727378783513387,0.646371071524287,0.7009408117386494,0.0,0.0,1.6624955819054656,7.057921864197002,0.03495357824601464,8.161923956063191,0.21951993872563616,0.08286846857206986,0.37619054130086493,0.005009968214459761,23.001650294877486,0.4632155899801385,0.7736017555005876,0.035904149771423574,0.06099885444539878,0.584228515625,0.239501953125,0.10986328125,0.091796875,6.451079156901651,4.703979710732587,0.2001128978059122,1.1638823219254975,0.08180588772703419,1.9835628564636703
lens_00627,0.38419670006260276,0.000523376339323732,32.81185914736659,0.6934507258652255,0.593638731328939,0.0005135929144239195,32.89380976465332,0.6989185265049339,0.6037485732477967,1.0,-2.0,2.2801541973642507,11.504115509156332,0.16383703171530134,1.8897590828446766,0.624489187093239,0.10329195182267126,0.04167182058347407,0.009024415425955005,20.445809207801467,0.27366927153313214,0.606228696627951,0.04538052398560931,0.08345671613924516,0.521728515625,0.09228515625,0.30615234375,0.103515625,12.931929587799637,3.523473731282934,0.22765011533565138,0.8772204199029475,0.07555181574466485,2.0778602032909483
lens_00628,0.3876343999290839,0.0007145284630237749,31.45980466539973,0.7213266940325642,0.718334530698124,0.0007145284630237748,31.45980466539973,0.7213266940325642,0.718334530698124,0.0,0.0,0.30082630575082886,8.67660892331803,0.060216146452870545,4.528487801055263,0.45824084267134735,0.0705387502490692,0.25680277688655284,0.005188645659356698,22.849459869347918,0.4340681073233521,0.7494118893656377,0.03310352217291747,0.06397501449084525,0.5068359375,0.123291015625,0.28955078125,0.1015625,12.977518456173316,4.773622648588404,0.2004370762155203,0.9239810453452544,0.08575776560458628,2.165758004298427
lens_00629,0.41082300001289696,0.001173597323638981,29.304808895619683,0.7529052745438661,0.8012688239688884,0.001173597323638981,29.304808895619683,0.7529052745438662,0.8012688239688887,0.0,0.0,0.7532614970249063,5.231097286162333,0.0193853709235684,0.8963681417901057,0.23173663361956737,0.07887861398645735,0.25014065349446646,0.003996541359471445,23.983156882371347,0.5705052901871185,0.8075732934890267,0.026409773971582288,0.05743748948414598,0.584716796875,0.24609375,0.10205078125,0.08740234375,6.724767516935586,4.659141648052025,0.20963397132248207,0.8544174700063053,0.11976646377478627,1.8713745548647527
lens_00630,0.3901530000148341,0.001155816287747533,29.371111897545337,0.8697797673014671,0.900749297121426,0.001155816287747533,29.371111897545337,0.8697797673014671,0.9007492971214258,0.0,0.0,0.8701813172251228,3.228112019754807,0.010066021040160744,3.410525507546737,0.17895037683130674,0.06091656430015191,0.11605242406231409,0.0016242572322687668,27.893451907916692,0.739978462704757,0.9209251238010108,0.019170811949936004,0.03545048943877867,0.563720703125,0.22802734375,0.135009765625,0.093505859375,6.842286347592172,4.859230861910684,0.19806131237479488,0.901634091951185,0.10353144790697624,1.3643002028330757
lens_00631,0.38651079998817295,0.0007787669803564287,31.085924708050694,0.8526293152425103,0.9099075631913449,0.0007618521402558689,31.18129308059269,0.855393806847657,0.9119589355528274,0.0,-1.0,0.20720777583233063,8.67452038837557,0.09410491064010551,0.49821290148815933,0.4846239313069208,0.03435339047577535,0.17361273599184623,0.004475843454422694,23.49125111614045,0.36302523357317784,0.7326837598554263,0.03112366645178093,0.059221287059814734,0.568359375,0.239013671875,0.1318359375,0.08203125,8.266701938520324,4.954249398083247,0.2007094068000242,0.9745440863179727,0.05691881963109735,1.012152093769969
